fid,table,foreign_table,foreign_column
FA_ASSET_INVOICES.AP_INVOICES_ALL.INVOICE_ID,FA_ASSET_INVOICES,AP_INVOICES_ALL,INVOICE_ID
AP_CHECKS_ALL.AP_INVOICES_ALL.ESCHEATMENT_INVOICE_ID,AP_CHECKS_ALL,AP_INVOICES_ALL,ESCHEATMENT_INVOICE_ID
AP_INVOICE_PAYMENTS_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_INVOICE_PAYMENTS_ALL,AP_INVOICES_ALL,INVOICE_ID
FUN_TRX_HEADERS.AP_INVOICES_ALL.AP_INVOICE_ID,FUN_TRX_HEADERS,AP_INVOICES_ALL,AP_INVOICE_ID
AP_PREPAY_HISTORY_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_PREPAY_HISTORY_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_INTERFACE_REJECTIONS.AP_INVOICES_ALL.INVOICE_ID,AP_INTERFACE_REJECTIONS,AP_INVOICES_ALL,INVOICE_ID
AP_SELECTED_INVOICES_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_SELECTED_INVOICES_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_SELECTED_INVOICES_ALL.AP_INVOICES_ALL.ORIGINAL_INVOICE_ID,AP_SELECTED_INVOICES_ALL,AP_INVOICES_ALL,ORIGINAL_INVOICE_ID
AP_APINV_APPROVERS.AP_INVOICES_ALL.INVOICE_ID,AP_APINV_APPROVERS,AP_INVOICES_ALL,INVOICE_ID
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.INVOICE_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,INVOICE_ID
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.CORRECTED_INV_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,CORRECTED_INV_ID
AP_INVOICE_LINES_ALL.AP_INVOICES_ALL.PA_CC_AR_INVOICE_ID,AP_INVOICE_LINES_ALL,AP_INVOICES_ALL,PA_CC_AR_INVOICE_ID
